cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation,analytic_p
circle_cos4_direct_n200,0,2026291601,True,ok,0.003038515048573543,0.005357171487787096,0.00629045860866735,1.2144655745645554,1.0194002105094109,0.5234003830791214,0.5236546312337496,0.6006756912869669,0.5446003752446525,0.5446003752446525,200.0,200.0,0.005,6.314393452555578e-16,1.2378808652579234,6,3.0791341698588326e-17,4.7704895589362195e-18,3.3306690738754696e-15,0.000470222432430889,0.5890123288048178,1.4048978916956139,0.29292816648886455,8.673617379884035e-17,0.0011573343072086573,ok,0.001,ok,ok,1.8735013540549517e-13,0.0,1.2490009027033011e-14,0.5253364796198077
circle_cos4_direct_n200,1,2026291602,True,ok,0.0044228383510749696,0.003917967768654506,0.007850475938624597,1.7669570436809239,1.2837226088854394,0.3945737701374421,0.3950068367442447,0.5263118851353635,0.4128926404844169,0.4128926404844169,200.0,200.0,0.005,3.101685575046531e-15,1.2455997962676426,6,2.7842311789427754e-16,6.938893903907228e-18,3.3306690738754696e-15,0.0010891483745320008,0.5928977035474806,1.3977926040286712,0.2952875159655925,6.973588373426765e-16,0.001017291098833084,ok,0.001,ok,ok,3.469446951953614e-15,0.0,6.938893903907228e-16,0.3965671564194697
circle_cos4_direct_n200,2,2026291603,True,ok,0.002066028110005681,0.004184111627735222,0.0037189727305317203,0.8260350673079708,1.3224982394207323,0.6413429561110859,0.6414698917374788,0.5162061283562001,0.6615262444918935,0.6615262444918935,200.0,200.0,0.005,2.498001805406602e-16,1.1937625769348648,6,7.806255641895632e-18,-8.673617379884035e-19,-1.1102230246251565e-16,0.00018808834715078326,0.5890106669001889,1.4071391593858849,0.29327297280468334,2.7755575615628914e-17,0.0010042090434581041,ok,0.001,ok,ok,1.717376241217039e-13,0.0,3.816391647148976e-15,0.6428820952888569
circle_cos4_direct_n200,3,2026291604,True,ok,0.005337960781511899,0.0024821525321073673,0.008560072211879247,2.132140402651104,1.5928479412165433,0.32875280623571435,0.32924959266714304,0.45093865413347367,0.3438354234463235,0.3438354234463235,200.0,200.0,0.005,3.587408148320037e-15,1.2286921356043705,6,3.920475055707584e-16,0.0,8.881784197001252e-16,0.0015219549768277219,0.5985960847434659,1.39040478315455,0.2985552084207559,7.632783294297951e-16,0.0009875418618321419,ok,0.001,ok,ok,1.7503359872605984e-13,0.0,1.7017637299332478e-13,0.3305525348896443
circle_cos4_direct_n200,4,2026291605,True,ok,0.003749247427088609,0.0002808206479619533,0.006373682907509706,1.4982907519020097,1.6017281006177055,0.4552441059848772,0.4555704045948265,0.44894088896936946,0.4724376561462984,0.4724376561462984,200.0,200.0,0.005,1.2732002951931776e-13,1.1404985359298643,5,-1.734723475976807e-18,-9.107298248878237e-18,-3.3306690738754696e-15,0.0007041094667169512,0.6227251135424474,1.3697793119089448,0.31127511973364,4.67995867753368e-15,0.0008825000841170549,ok,0.001,ok,ok,2.42861286636753e-15,0.0,9.540979117872439e-15,0.4543098051451988
circle_cos4_direct_n200,5,2026291606,True,ok,0.005264160208957018,0.003411086435810896,0.007586196458762214,2.102739987436701,2.2174016457843386,0.33536929049482533,0.33585794183992923,0.3299873947784669,0.34894811278843973,0.34894811278843973,200.0,200.0,0.005,3.684552662974738e-15,1.2425271209572615,6,3.720981855970251e-16,-2.6020852139652106e-18,-4.440892098500626e-16,0.0014620480730531682,0.6260872409645533,1.363139210523396,0.3119759116067781,8.500145032286355e-16,0.0009907500352710485,ok,0.001,ok,ok,1.0755285551056204e-14,0.0,1.8561541192951836e-14,0.3354060042421043
circle_cos4_direct_n200,6,2026291607,True,ok,0.0019120004828431687,0.003094961213586843,0.00472426324670759,0.7644693643297098,0.7946723446473134,0.6587976113664586,0.6589136878538728,0.6721080435275797,0.6822220438951792,0.6822220438951792,200.0,200.0,0.005,3.7470027081099033e-16,1.1719236722047206,6,-1.3010426069826053e-18,1.3010426069826053e-18,4.440892098500626e-16,0.00016541440377881855,0.5543520825502437,1.4420074970524026,0.2763182956480189,4.163336342344337e-17,0.0010410419199615717,ok,0.001,ok,ok,8.847089727481716e-15,0.0,2.949029909160572e-15,0.6640038414103473
circle_cos4_direct_n200,7,2026291608,True,ok,0.00707756277779884,0.0030210474464841073,0.00981899987024977,2.8263156315359987,2.2311138507548205,0.23242832781343245,0.23295190033306884,0.3277327054037543,0.24280113247939095,0.24280113247939095,200.0,200.0,0.005,4.1321113197767545e-15,1.238339737366112,6,-3.5735303605122226e-16,-1.734723475976807e-18,-8.881784197001252e-16,0.0023547397917687007,0.5616931130381448,1.4246350722638232,0.27999812471076474,6.487865800153259e-16,0.0009968341328203678,ok,0.001,ok,ok,1.7555401576885288e-13,0.0,6.591949208711867e-15,0.23565693765706608
circle_cos4_direct_n200,8,2026291609,True,ok,0.0014322369252840299,0.011507604141324373,0.004434073089881653,0.5728042848701212,0.42353588259650043,0.7355660845065737,0.7356012999956196,0.80915244664754,0.7509265874514429,0.7509265874514429,200.0,200.0,0.005,1.0130785099704553e-15,1.2747497488942705,6,-7.37257477290143e-18,-8.673617379884035e-19,-1.1102230246251565e-16,4.52426217453783e-05,0.6109103672688074,1.3870124637451011,0.3019417027860133,2.185751579730777e-16,0.0009972092229872942,ok,0.001,ok,ok,1.8735013540549517e-14,0.0,1.457167719820518e-14,0.7347990627678225
circle_cos4_direct_n200,9,2026291610,True,ok,0.0025618457145825642,0.0038030457558402694,0.005840197762904348,1.0241569966599693,0.8395514673492935,0.5758908079514957,0.5760658576585067,0.6571941898153681,0.5990746028775029,0.5990746028775029,200.0,200.0,0.005,6.800116025829084e-16,1.1939219470525049,6,2.168404344971009e-18,3.469446951953614e-18,1.1102230246251565e-15,0.00029064458652816594,0.5697417136628663,1.4254623660074228,0.28378741781334105,7.632783294297951e-17,0.0009967919904738665,ok,0.001,ok,ok,2.203098814490545e-14,0.0,1.8006429680639258e-13,0.5797208650028791
