cell,replicate,seed,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,reference_refinement,scaled_rotation
circle_vm2_direct_n800,0,2026691601,True,ok,0.00048826845069194214,0.577902519793996,0.0010791905542840705,0.7728970171296844,0.8263271342966328,0.673113947425074,0.6759610413464419,0.6615540654657417,0.6766407745532319,0.6766407745532318,800.0000000000005,800.0000000000005,0.00125,2.4946933407932192e-11,12.018209713853041,8,1.9843122370938326e-13,2.1553939189011828e-16,3.4416913763379853e-13,0.004166251988711733,0.9352942139381676,1.0405519901586786,0.2019569109405944,5.044253903463414e-11,0.0016485420055687428,ok,0.001,ok,ok,7.105427357601002e-13,2.220446049250313e-16,1.7763568394002505e-13
circle_vm2_direct_n800,1,2026691602,True,ok,0.000723636575517439,0.6713251990936011,0.001311116495526849,1.135320428507794,1.2377478635158141,0.5533488108089033,0.559744242345342,0.5385505409346755,0.5605094030582449,0.5605094030582445,800.0000000000005,800.0000000000005,0.00125,6.318556788897922e-11,18.6435775123314,9,6.184141631941642e-12,-8.890457814381136e-18,-1.509903313490213e-14,0.01124904616005451,0.9143074404643602,1.0453246848477473,0.15935330618677515,1.5211054638086807e-10,0.0023766248486936092,ok,0.001,ok,ok,3.552713678800501e-13,1.1102230246251565e-16,0.0
circle_vm2_direct_n800,2,2026691603,True,ok,0.0028972995391585155,0.5620181279202909,0.0026305633553877334,4.555826847233352,4.927629702337539,0.0885600565301723,0.09231091843585343,0.08510965022623675,0.09848612227622444,0.09848612227622434,800.0000000000005,800.0000000000005,0.00125,1.1438183733503138e-11,12.029444768878983,9,-9.71445146547012e-17,-1.1362438767648086e-16,-1.8030021919912542e-13,0.039926207710137884,0.8544812701813871,1.0555839698827327,0.18731667542027683,2.254640918408768e-11,0.0014326670207083225,ok,0.001,ok,ok,7.105427357601002e-13,1.3877787807814457e-16,7.105427357601002e-13
circle_vm2_direct_n800,3,2026691604,True,ok,0.000938100695476507,0.556318924872454,0.0014770683987144042,1.491978868438163,1.622637016806826,0.46811552328448136,0.4702430349193696,0.44427190363936486,0.47213960851394265,0.47213960851394254,800.0000000000005,800.0000000000005,0.00125,1.4165446593494835e-11,10.721621439281748,8,6.588506866814225e-13,-5.865533753146579e-17,-9.392486788328824e-14,0.00449112216212455,0.8971888164350716,1.0858327162086787,0.2041148319541546,2.854450009692755e-11,0.0014422489330172539,ok,0.001,ok,ok,1.7763568394002505e-13,2.220446049250313e-16,1.7763568394002505e-13
circle_vm2_direct_n800,4,2026691605,True,ok,0.0009707805911669531,0.5732956169904415,0.0016048921008700544,1.5682889147636083,1.4413291245099658,0.46847976751997455,0.4650555318072104,0.4864288862446876,0.4599559877257561,0.45995598772575563,800.0000000000005,800.0000000000005,0.00125,2.830002898690509e-11,10.17011609123381,8,-1.908102040086568e-12,-1.4246416546459528e-16,-2.2648549702353193e-13,-0.0075199844482412015,0.9581586316013424,1.0930282156184419,0.20648540053582082,5.513434153670005e-11,0.0014316670130938292,ok,0.001,ok,ok,7.105427357601002e-13,1.1102230246251565e-16,1.7763568394002505e-13
circle_vm2_direct_n800,5,2026691606,True,ok,0.0013096938099619315,0.5936051557913045,0.0018737105389955845,2.031958535512287,2.015930532739542,0.33326366194281354,0.3445403641011203,0.3649608226486093,0.3507242250416163,0.35072422504161616,800.0000000000005,800.0000000000005,0.00125,5.2649884452193874e-11,14.622246044903605,9,-6.895525817007808e-17,-7.871307772244762e-17,-1.2523315717771766e-13,0.03177578021340244,0.8851555149907332,1.0241777308373072,0.19018517858409892,1.0888090429261865e-10,0.0016035421285778284,ok,0.001,ok,ok,3.552713678800501e-13,2.220446049250313e-16,3.552713678800501e-13
circle_vm2_direct_n800,6,2026691607,True,ok,0.0005950564373802258,0.5562810770837201,0.0012456750431962726,0.9401492642283522,0.9247235270492451,0.609285575894545,0.6130803173658146,0.6297944620610618,0.6212354328939849,0.6212354328939846,800.0000000000005,800.0000000000005,0.00125,8.555933739273769e-12,11.22369317282112,8,4.699628273346912e-13,7.45931094670027e-17,1.199040866595169e-13,0.005970517790004848,0.8834074648555019,1.0431809185490877,0.19555053979598142,1.6740608899112885e-11,0.0014354169834405184,ok,0.001,ok,ok,5.329070518200751e-13,2.220446049250313e-16,1.7763568394002505e-13
circle_vm2_direct_n800,7,2026691608,True,ok,2.8897413914874548e-05,0.5681926689028285,0.0002668813552605241,0.04628134387648802,0.04689380958842097,0.9771811688004659,0.9771589806991238,0.9768258380608752,0.9771472408978976,0.9771472408978976,800.0000000000005,800.0000000000005,0.00125,1.5542456210937416e-11,10.590669563574497,8,6.539771979161002e-17,7.304812137121086e-17,1.170175067954915e-13,-2.274080634435613e-05,0.9667896567202628,1.0374502538873416,0.21020203507635238,3.093436617973566e-11,0.001474957913160324,ok,0.001,ok,ok,5.329070518200751e-13,0.0,1.7763568394002505e-13
circle_vm2_direct_n800,8,2026691609,True,ok,0.00026661347878098596,0.6225479670565051,0.0008004710717740681,0.4219412167884806,0.4508714144009395,0.799649586524273,0.8015958166995711,0.7981683752776295,0.8079211732938226,0.8079211732938225,800.0000000000005,800.0000000000005,0.00125,1.949560513025972e-10,14.335791932719673,8,4.007861750809916e-14,-4.466912950640278e-17,-7.216449660063518e-14,0.002320174630548566,0.8668196437249425,1.048821862692611,0.1625197427572249,4.2102410446887006e-10,0.0014795840252190828,ok,0.001,ok,ok,3.552713678800501e-13,0.0,0.0
circle_vm2_direct_n800,9,2026691610,True,ok,0.0016327560618800696,0.5276692698319965,0.0020483803869331737,2.5767611833074326,2.5665683867498124,0.2572110255502288,0.26201167697158345,0.277125669997818,0.2708460096976888,0.2708460096976886,800.0000000000005,800.0000000000005,0.00125,1.4782952639791347e-10,10.248484873264763,8,1.4081106506497187e-11,-1.1796119636642288e-16,-1.8829382497642655e-13,0.01782425785034003,0.888706893966434,1.0370440082756118,0.20776266432534235,2.9172575466418493e-10,0.0018075001426041126,ok,0.001,ok,ok,1.7763568394002505e-13,2.220446049250313e-16,1.7763568394002505e-13
