cell,domain,law,n,repeats,method,rejections,rejection_rate,mc_se,wilson_low,wilson_high,failures,cdf_01,cdf_10,cdf_50,cdf_90
circle_uniform_direct_n200,circle,uniform_direct,200,1000,p_gap,61,0.061,0.0075682891065286355,0.0477797751260337,0.07758011882428367,0,0.009,0.111,0.508,0.9
circle_uniform_direct_n200,circle,uniform_direct,200,1000,p_score,60,0.06,0.007509993342207435,0.04689647267593196,0.07647107479135655,0,0.009,0.111,0.507,0.9
circle_uniform_direct_n200,circle,uniform_direct,200,1000,p_wald,61,0.061,0.0075682891065286355,0.0477797751260337,0.07758011882428367,0,0.01,0.113,0.504,0.902
circle_uniform_direct_n200,circle,uniform_direct,200,1000,naive_p,59,0.059,0.007451107300260815,0.04601429821280047,0.07536090277145915,0,0.008,0.108,0.505,0.9
circle_uniform_direct_n200,circle,uniform_direct,200,1000,kish_p,59,0.059,0.007451107300260815,0.04601429821280047,0.07536090277145915,0,0.008,0.108,0.505,0.9
circle_vm2_direct_n200,circle,vm2_direct,200,1000,p_gap,63,0.063,0.007683163410991596,0.049549663211729086,0.0797949237046461,0,0.016,0.114,0.514,0.898
circle_vm2_direct_n200,circle,vm2_direct,200,1000,p_score,56,0.056,0.007270763371201128,0.043374813385442,0.07202334814973096,0,0.011,0.11,0.514,0.899
circle_vm2_direct_n200,circle,vm2_direct,200,1000,p_wald,65,0.065,0.007795832219846705,0.051323770569062045,0.0820055093133709,0,0.019,0.116,0.516,0.898
circle_vm2_direct_n200,circle,vm2_direct,200,1000,naive_p,56,0.056,0.007270763371201128,0.043374813385442,0.07202334814973096,0,0.015,0.113,0.521,0.899
circle_vm2_direct_n200,circle,vm2_direct,200,1000,kish_p,56,0.056,0.007270763371201128,0.043374813385442,0.07202334814973096,0,0.015,0.113,0.521,0.899
circle_cos4_direct_n200,circle,cos4_direct,200,1000,p_gap,53,0.053,0.00708456067798138,0.04074650524859452,0.06867461683749176,0,0.006,0.11,0.493,0.906
circle_cos4_direct_n200,circle,cos4_direct,200,1000,p_score,53,0.053,0.00708456067798138,0.04074650524859452,0.06867461683749176,0,0.006,0.108,0.493,0.906
circle_cos4_direct_n200,circle,cos4_direct,200,1000,p_wald,56,0.056,0.007270763371201128,0.043374813385442,0.07202334814973096,0,0.012,0.109,0.488,0.905
circle_cos4_direct_n200,circle,cos4_direct,200,1000,naive_p,59,0.059,0.007451107300260815,0.04601429821280047,0.07536090277145915,0,0.011,0.113,0.468,0.903
circle_cos4_direct_n200,circle,cos4_direct,200,1000,kish_p,59,0.059,0.007451107300260815,0.04601429821280047,0.07536090277145915,0,0.011,0.113,0.468,0.903
circle_cos4_direct_n200,circle,cos4_direct,200,1000,analytic_p,50,0.05,0.006892024376045111,0.03813026239274882,0.06531382024425081,0,0.005,0.107,0.49,0.907
circle_uniform_importance_n200,circle,uniform_importance,200,1000,p_gap,53,0.053,0.00708456067798138,0.04074650524859452,0.06867461683749176,0,0.01,0.102,0.502,0.89
circle_uniform_importance_n200,circle,uniform_importance,200,1000,p_score,52,0.052,0.007021111023192838,0.03987303628377742,0.06755573931927998,0,0.01,0.101,0.5,0.89
circle_uniform_importance_n200,circle,uniform_importance,200,1000,p_wald,58,0.058,0.007391616873188166,0.04513327823499824,0.0742495762662325,0,0.02,0.109,0.51,0.886
circle_uniform_importance_n200,circle,uniform_importance,200,1000,naive_p,209,0.209,0.012857643641040918,0.1849366933157235,0.23529048012286963,0,0.083,0.302,0.683,0.94
circle_uniform_importance_n200,circle,uniform_importance,200,1000,kish_p,48,0.048,0.006759881655768835,0.036393301020807914,0.06306608865013393,0,0.015,0.09,0.495,0.887
circle_vm2_importance_n200,circle,vm2_importance,200,1000,p_gap,40,0.04,0.0061967733539318665,0.02951097368545276,0.05400964412125796,0,0.006,0.093,0.511,0.898
circle_vm2_importance_n200,circle,vm2_importance,200,1000,p_score,39,0.039,0.006122009474020765,0.028658960904180485,0.052869310419501346,0,0.006,0.095,0.511,0.898
circle_vm2_importance_n200,circle,vm2_importance,200,1000,p_wald,40,0.04,0.0061967733539318665,0.02951097368545276,0.05400964412125796,0,0.008,0.098,0.516,0.899
circle_vm2_importance_n200,circle,vm2_importance,200,1000,naive_p,18,0.018,0.004204283529925164,0.011415740009567788,0.028273255170507345,0,0.002,0.052,0.44,0.876
circle_vm2_importance_n200,circle,vm2_importance,200,1000,kish_p,7,0.007,0.0026364749192814255,0.0033948684009907646,0.014378315465766588,0,0.001,0.018,0.341,0.844
circle_uniform_direct_n800,circle,uniform_direct,800,1000,p_gap,55,0.055,0.00720936890441875,0.04249742737476844,0.07090838767737563,0,0.009,0.105,0.506,0.902
circle_uniform_direct_n800,circle,uniform_direct,800,1000,p_score,55,0.055,0.00720936890441875,0.04249742737476844,0.07090838767737563,0,0.009,0.105,0.506,0.902
circle_uniform_direct_n800,circle,uniform_direct,800,1000,p_wald,55,0.055,0.00720936890441875,0.04249742737476844,0.07090838767737563,0,0.01,0.108,0.507,0.899
circle_uniform_direct_n800,circle,uniform_direct,800,1000,naive_p,55,0.055,0.00720936890441875,0.04249742737476844,0.07090838767737563,0,0.009,0.105,0.506,0.902
circle_uniform_direct_n800,circle,uniform_direct,800,1000,kish_p,55,0.055,0.00720936890441875,0.04249742737476844,0.07090838767737563,0,0.009,0.105,0.506,0.902
circle_vm2_direct_n800,circle,vm2_direct,800,1000,p_gap,54,0.054,0.007147307185227175,0.04162131372306273,0.06979215484605245,0,0.014,0.101,0.492,0.904
circle_vm2_direct_n800,circle,vm2_direct,800,1000,p_score,50,0.05,0.006892024376045111,0.03813026239274882,0.06531382024425081,0,0.014,0.095,0.492,0.904
circle_vm2_direct_n800,circle,vm2_direct,800,1000,p_wald,55,0.055,0.00720936890441875,0.04249742737476844,0.07090838767737563,0,0.014,0.103,0.49,0.901
circle_vm2_direct_n800,circle,vm2_direct,800,1000,naive_p,51,0.051,0.00695693898205238,0.03900094277526684,0.06643548634476165,0,0.014,0.095,0.492,0.902
circle_vm2_direct_n800,circle,vm2_direct,800,1000,kish_p,51,0.051,0.00695693898205238,0.03900094277526684,0.06643548634476165,0,0.014,0.095,0.492,0.902
circle_cos4_direct_n800,circle,cos4_direct,800,1000,p_gap,43,0.043,0.006414904519944158,0.03207865341171336,0.057419003844084014,0,0.009,0.088,0.488,0.905
circle_cos4_direct_n800,circle,cos4_direct,800,1000,p_score,43,0.043,0.006414904519944158,0.03207865341171336,0.057419003844084014,0,0.009,0.088,0.488,0.905
circle_cos4_direct_n800,circle,cos4_direct,800,1000,p_wald,45,0.045,0.0065555320150236475,0.03379951228563171,0.059682837936223455,0,0.007,0.098,0.485,0.911
circle_cos4_direct_n800,circle,cos4_direct,800,1000,naive_p,47,0.047,0.006692607862410586,0.0355271051063845,0.06193993808152845,0,0.014,0.092,0.473,0.898
circle_cos4_direct_n800,circle,cos4_direct,800,1000,kish_p,47,0.047,0.006692607862410586,0.0355271051063845,0.06193993808152845,0,0.014,0.092,0.473,0.898
circle_cos4_direct_n800,circle,cos4_direct,800,1000,analytic_p,42,0.042,0.0063431853196954605,0.031220885546165447,0.056284425226603055,0,0.008,0.087,0.487,0.905
circle_uniform_importance_n800,circle,uniform_importance,800,1000,p_gap,51,0.051,0.00695693898205238,0.03900094277526684,0.06643548634476165,0,0.014,0.107,0.513,0.913
circle_uniform_importance_n800,circle,uniform_importance,800,1000,p_score,51,0.051,0.00695693898205238,0.03900094277526684,0.06643548634476165,0,0.014,0.107,0.513,0.913
circle_uniform_importance_n800,circle,uniform_importance,800,1000,p_wald,57,0.057,0.007331507348424334,0.04425344035871594,0.07313706765948591,0,0.014,0.107,0.515,0.918
circle_uniform_importance_n800,circle,uniform_importance,800,1000,naive_p,221,0.221,0.013120937466507492,0.1963781575648541,0.2477571736700857,0,0.091,0.332,0.71,0.957
circle_uniform_importance_n800,circle,uniform_importance,800,1000,kish_p,56,0.056,0.007270763371201128,0.043374813385442,0.07202334814973096,0,0.011,0.101,0.506,0.91
circle_vm2_importance_n800,circle,vm2_importance,800,1000,p_gap,46,0.046,0.006624499981130651,0.03466249276326498,0.06081220394161907,0,0.011,0.095,0.496,0.897
circle_vm2_importance_n800,circle,vm2_importance,800,1000,p_score,46,0.046,0.006624499981130651,0.03466249276326498,0.06081220394161907,0,0.01,0.096,0.498,0.896
circle_vm2_importance_n800,circle,vm2_importance,800,1000,p_wald,48,0.048,0.006759881655768835,0.036393301020807914,0.06306608865013393,0,0.011,0.094,0.494,0.895
circle_vm2_importance_n800,circle,vm2_importance,800,1000,naive_p,20,0.02,0.004427188724235731,0.012983682916415136,0.030690005229717786,0,0.003,0.058,0.423,0.871
circle_vm2_importance_n800,circle,vm2_importance,800,1000,kish_p,9,0.009,0.002986469487538756,0.004742060667477063,0.01701581616533807,0,0.0,0.02,0.316,0.841
sphere_uniform_direct_n400,sphere,uniform_direct,400,400,p_gap,25,0.0625,0.012103072956898178,0.04268914141220244,0.09063411613030699,0,0.02,0.1075,0.49,0.9025
sphere_uniform_direct_n400,sphere,uniform_direct,400,400,p_score,25,0.0625,0.012103072956898178,0.04268914141220244,0.09063411613030699,0,0.02,0.1125,0.4875,0.9025
sphere_uniform_direct_n400,sphere,uniform_direct,400,400,p_wald,26,0.065,0.01232629303562105,0.04474048189620036,0.09353521417463759,0,0.0225,0.1225,0.5025,0.9025
sphere_uniform_direct_n400,sphere,uniform_direct,400,400,naive_p,25,0.0625,0.012103072956898178,0.04268914141220244,0.09063411613030699,0,0.02,0.105,0.49,0.9025
