replicate,seed,I1,p1,valid1,I2,p2,valid2,I3,p3,valid3,I4,p4,valid4,tail,p_tail,valid_tail,holm_I1,holm_I2,holm_I3,holm_I4,holm_tail,would_stop_at_first
0,919263,0.00026320974342725913,0.8100264899364242,True,0.0006965351167982413,0.5555644001226605,True,0.00022746777331489765,0.8336022372344347,True,0.1468509229875793,2.1037494154635037e-51,True,0.14777492587769386,6.1031431187061336e-05,True,1.0,1.0,1.0,1.0518747077317519e-50,0.00024412572474824534,True
1,919264,0.0002538927167783885,0.8161333214613553,True,0.00013160179286330178,0.8917847966365082,True,0.001043552676020399,0.43328065296049023,True,0.17175145111016835,7.125610267860603e-61,True,0.1729266055790516,6.1031431187061336e-05,True,1.0,1.0,1.0,3.5628051339303013e-60,0.00024412572474824534,True
2,919265,8.711936307425339e-05,0.9325818714487166,True,0.0028708243254975158,0.10392441661814492,True,0.00464883047492662,0.02393715566221927,True,0.19203575832635403,1.8996560543713184e-69,True,0.19955541312677866,6.1031431187061336e-05,True,0.9325818714487166,0.20784883323628983,0.07181146698665782,9.498280271856593e-69,0.00024412572474824534,True
3,919266,0.005962602794230292,0.008363799634365492,True,0.004045553912417664,0.04414381114082391,True,0.0005523610428712356,0.6429228847066519,True,0.14255759874639892,1.1076918299864906e-51,True,0.14715551370168797,6.1031431187061336e-05,True,0.025091398903096477,0.08828762228164783,0.6429228847066519,5.538459149932453e-51,0.00024412572474824534,False
4,919267,0.00067559254662289,0.5822423733495012,True,0.00015562788474487977,0.8739848665993164,True,0.0005585449441160462,0.6394037629087932,True,0.16162679071318517,1.287508456188915e-59,True,0.16234096354204783,6.1031431187061336e-05,True,1.0,1.0,1.0,6.437542280944576e-59,0.00024412572474824534,True
5,919268,0.00010099737680049239,0.9222021712951454,True,0.004760753670845136,0.02821478121000031,True,0.0004112258567657654,0.7198325996145001,True,0.18588552683731793,1.6791995979939948e-65,True,0.1910575063649285,6.1031431187061336e-05,True,1.0,0.08464434363000092,1.0,8.395997989969974e-65,0.00024412572474824534,True
6,919269,0.001114598896389772,0.40893313309893675,True,0.006274574866829626,0.009819588370063775,True,0.00023984195202278978,0.825512391162843,True,0.15382679002052985,3.5704482868660175e-53,True,0.16034120683938313,6.1031431187061336e-05,True,0.8178662661978735,0.029458765110191326,0.825512391162843,1.7852241434330088e-52,0.00024412572474824534,True
7,919270,6.950296027732506e-05,0.9458783307892733,True,0.0012955266634217424,0.3384496839667184,True,0.0016077134483543799,0.2759161033338817,True,0.19412195214366998,3.660940508844497e-68,True,0.19702519225544782,6.1031431187061336e-05,True,0.9458783307892733,0.8277483100016452,0.8277483100016452,1.8304702544222487e-67,0.00024412572474824534,True
8,919271,0.0027392469135169573,0.1111502909725447,True,0.004779752623889461,0.027994931308496347,True,0.000677174914191267,0.5818530312900176,True,0.19137890859971987,2.4493132356646436e-67,True,0.1968358361377998,6.1031431187061336e-05,True,0.2223005819450894,0.08398479392548905,0.5818530312900176,1.2246566178323218e-66,0.00024412572474824534,True
9,919272,8.181906101148914e-06,0.9934713301650837,True,0.0013775250185729315,0.3167164540487243,True,0.0001619455198817979,0.8783933932664978,True,0.20172622651969777,2.7179308172866015e-77,True,0.20326569705815237,6.1031431187061336e-05,True,1.0,0.9501493621461728,1.0,1.3589654086433007e-76,0.00024412572474824534,True
10,919273,0.0013720516891611058,0.3331263425701776,True,0.0003646450040920364,0.7292926874625565,True,0.00030006087667388843,0.7861665230992694,True,0.1800723038595437,1.6287653805678442e-63,True,0.18073700974030954,6.1031431187061336e-05,True,0.9993790277105328,1.0,1.0,8.143826902839221e-63,0.00024412572474824534,True
11,919274,0.0005556090377402281,0.6409898193399841,True,4.653293474798123e-05,0.9599443913939305,True,3.262536715290475e-05,0.9742329178926898,True,0.18239488309687416,1.589114737753645e-65,True,0.18247404139877518,6.1031431187061336e-05,True,1.0,1.0,1.0,7.945573688768225e-65,0.00024412572474824534,True
12,919275,0.0002483194367693902,0.8194854119650791,True,0.00417691258747145,0.04036665319449423,True,0.00210255053433823,0.18565761678122755,True,0.14517499109583187,5.222537399194559e-52,True,0.15145445421764225,6.1031431187061336e-05,True,0.8194854119650791,0.12109995958348269,0.3713152335624551,2.6112686995972796e-51,0.00024412572474824534,True
13,919276,0.0031893789856243396,0.07736417070565207,True,0.0011822865287850074,0.3732311841302872,True,0.004073289436225824,0.03796568772117405,True,0.16180334370545213,8.488035423875182e-58,True,0.16705891967046146,6.1031431187061336e-05,True,0.15472834141130415,0.3732311841302872,0.11389706316352215,4.2440177119375914e-57,0.00024412572474824534,True
14,919277,0.0028604589902773443,0.10077269826531976,True,0.0002116597002313073,0.8310154916193495,True,0.001782601113202855,0.2396065709469392,True,0.1893533093552602,3.6749763450374166e-68,True,0.1913475701686945,6.1031431187061336e-05,True,0.3023180947959593,0.8310154916193495,0.4792131418938784,1.8374881725187085e-67,0.00024412572474824534,True
15,919278,0.0014316493966383915,0.3175423242315713,True,0.000786852517974502,0.5101104139829595,True,0.0011406330041507885,0.40113877776145346,True,0.1978579591708171,5.742317218123868e-72,True,0.19978544469294127,6.1031431187061336e-05,True,0.9526269726947139,0.9526269726947139,0.9526269726947139,2.871158609061934e-71,0.00024412572474824534,True
16,919279,0.00041237234229468797,0.718766508737422,True,0.0013533201799431922,0.32582446080679983,True,0.0026189144698090965,0.12228147072060627,True,0.15767108663870874,8.655535972948037e-55,True,0.16164332128846148,6.1031431187061336e-05,True,0.718766508737422,0.6516489216135997,0.36684441216181884,4.327767986474018e-54,0.00024412572474824534,True
17,919280,6.448570270362793e-05,0.9497158559185482,True,2.155792881431784e-05,0.9814842908493727,True,4.621983888844399e-05,0.9636953868256606,True,0.15588352544584907,4.424433882118809e-55,True,0.15595130321355172,6.1031431187061336e-05,True,1.0,1.0,1.0,2.2122169410594044e-54,0.00024412572474824534,True
18,919281,0.00039883038308017433,0.7267204330805703,True,0.00016255904390035,0.8674947293478823,True,0.0005272406407215817,0.6555327638651829,True,0.18286758359354358,2.1314211159475572e-66,True,0.18355738327816448,6.1031431187061336e-05,True,1.0,1.0,1.0,1.0657105579737786e-65,0.00024412572474824534,True
19,919282,0.0006838796491260191,0.578344763658379,True,0.000553214100071068,0.6216711370461525,True,0.0002554146055730906,0.8151302699203615,True,0.18076470411445836,3.798707780719442e-66,True,0.18157333282010274,6.1031431187061336e-05,True,1.0,1.0,1.0,1.8993538903597207e-65,0.00024412572474824534,True
20,919283,0.0005484812324462768,0.644510673678016,True,0.0013801796347913083,0.31858609535039284,True,0.0007317123951136196,0.5563035763480308,True,0.16376495689714765,1.6459540089677027e-59,True,0.1658768489270528,6.1031431187061336e-05,True,1.0,0.9557582860511785,1.0,8.229770044838514e-59,0.00024412572474824534,True
21,919284,0.001067988028104933,0.4247456535251572,True,0.0038882093224752697,0.050720445668003586,True,0.0015278036895112826,0.29450577787306353,True,0.1810296616874626,1.6077125538600667e-64,True,0.18644567469944917,6.1031431187061336e-05,True,0.5890115557461271,0.15216133700401074,0.5890115557461271,8.038562769300334e-64,0.00024412572474824534,True
22,919285,0.0002715701575476794,0.8046125967299782,True,0.0008103501902519488,0.5065186105072936,True,0.00011704732930399152,0.9105814578981749,True,0.14170615381028712,3.8644416291592847e-50,True,0.14263355132984398,6.1031431187061336e-05,True,1.0,1.0,1.0,1.9322208145796423e-49,0.00024412572474824534,True
23,919286,0.0011448326528318035,0.3997366612482417,True,0.0001228473066140186,0.899478748591731,True,0.002119390168591184,0.1828430901770853,True,0.1534853289925576,3.4263516459270197e-56,True,0.15572756646776284,6.1031431187061336e-05,True,0.7994733224964834,0.899478748591731,0.5485292705312559,1.71317582296351e-55,0.00024412572474824534,True
24,919287,0.0030296152757861095,0.08800962315196226,True,0.002665302917839376,0.12030722092799337,True,0.0026446456632400785,0.12008282301503131,True,0.18525793530515636,9.257394940903344e-66,True,0.19056788388623452,6.1031431187061336e-05,True,0.26402886945588677,0.26402886945588677,0.26402886945588677,4.628697470451672e-65,0.00024412572474824534,True
25,919288,0.0009577379238311194,0.4642004682482388,True,0.0021496944216265476,0.17586651288060112,True,8.837085663953356e-05,0.9316551660999026,True,0.18669056682717655,7.385612795570471e-67,True,0.188928632105443,6.1031431187061336e-05,True,0.9284009364964776,0.5275995386418033,0.9316551660999026,3.6928063977852356e-66,0.00024412572474824534,True
26,919289,0.0021431611205731584,0.17927317321539304,True,0.005181435285385151,0.020956244845025965,True,0.0007846044829796957,0.5335068139464885,True,0.17106891681392425,3.1070776128557287e-60,True,0.17703495658228913,6.1031431187061336e-05,True,0.3585463464307861,0.0628687345350779,0.5335068139464885,1.5535388064278644e-59,0.00024412572474824534,True
27,919290,0.0008806788976398077,0.49399425801078145,True,0.0003086767389046921,0.7680096721244802,True,0.0006585552629205255,0.590212141534824,True,0.1485502805368551,2.801432410094128e-54,True,0.1495175125386809,6.1031431187061336e-05,True,1.0,1.0,1.0,1.400716205047064e-53,0.00024412572474824534,True
28,919291,6.53706585983836e-05,0.9490238143721208,True,0.0008406515134072672,0.4910181833391378,True,0.0011669295586552698,0.39282234819152373,True,0.16985713879355147,5.791459740307119e-60,True,0.17186471986561355,6.1031431187061336e-05,True,1.0,1.0,1.0,2.895729870153559e-59,0.00024412572474824534,True
29,919292,0.00010127632392533352,0.9221540325802373,True,0.00035315662534864215,0.7360323986209223,True,0.0009388382498051472,0.4713419994009478,True,0.1846475712444526,2.177259889953071e-67,True,0.18593956611960707,6.1031431187061336e-05,True,1.0,1.0,1.0,1.0886299449765355e-66,0.00024412572474824534,True
30,919293,6.880620219648918e-05,0.9463289653091072,True,0.004338665536816186,0.03689347024164165,True,0.0008000370250310467,0.5273920900976594,True,0.16964648167172816,1.2764984762432292e-60,True,0.17478518423357595,6.1031431187061336e-05,True,1.0,0.11068041072492495,1.0,6.382492381216146e-60,0.00024412572474824534,True
31,919294,0.0009141734700918633,0.4808542709136088,True,0.0007807490860828885,0.5131088889827344,True,0.00035128570736492944,0.7546395751081003,True,0.19240452826567997,4.559689102203315e-71,True,0.19353656305912809,6.1031431187061336e-05,True,1.0,1.0,1.0,2.2798445511016577e-70,0.00024412572474824534,True
32,919295,0.00036131483097382757,0.7488319621464148,True,0.0006907762330207648,0.5551035120283297,True,0.003863873089063806,0.04507274011030428,True,0.17503639839145332,7.1723017177881906e-62,True,0.1795910477135376,6.1031431187061336e-05,True,1.0,1.0,0.13521822033091285,3.586150858894095e-61,0.00024412572474824534,True
33,919296,0.001950032208543883,0.20946440961009932,True,0.0007823018035073193,0.5150801702665087,True,4.1982163305871734e-05,0.9669676573858172,True,0.16921984382962144,3.9622546728554793e-63,True,0.1700441277964344,6.1031431187061336e-05,True,0.628393228830298,1.0,1.0,1.98112733642774e-62,0.00024412572474824534,True
34,919297,8.74930172551132e-05,0.9323588569525469,True,0.0010936421843003494,0.40148983315310127,True,0.0007618124156332428,0.543404359387559,True,0.1520548234591516,2.987032662420209e-54,True,0.15391027805908578,6.1031431187061336e-05,True,1.0,1.0,1.0,1.4935163312101044e-53,0.00024412572474824534,True
35,919298,0.000648390818142074,0.5950723806753732,True,0.00011653673747452002,0.903765937485853,True,0.00022952193467636463,0.8320904276352619,True,0.16557215224000882,9.952955651211863e-59,True,0.16591821091216033,6.1031431187061336e-05,True,1.0,1.0,1.0,4.9764778256059314e-58,0.00024412572474824534,True
36,919299,0.00037671061061750994,0.7394749519109034,True,0.0025834890811266523,0.12745192287946616,True,0.0034581659409166562,0.0624402045508326,True,0.16560836010708874,1.6292399392662096e-59,True,0.17165001512913164,6.1031431187061336e-05,True,0.7394749519109034,0.2549038457589323,0.1873206136524978,8.146199696331048e-59,0.00024412572474824534,True
37,919300,0.00012078971372251717,0.9078044419365267,True,0.001804008663847931,0.22925281357034616,True,0.0006779489013854002,0.5810329164025909,True,0.15690821613917666,4.9083590320299e-55,True,0.15939017370441086,6.1031431187061336e-05,True,1.0,0.6877584407110384,1.0,2.45417951601495e-54,0.00024412572474824534,True
38,919301,0.0007062465986876348,0.568116042251489,True,0.0001598901344723447,0.8684033109171677,True,0.0029051721702098776,0.09723655434442602,True,0.20169951940029,2.1123330518794403e-72,True,0.2047645817049728,6.1031431187061336e-05,True,1.0,1.0,0.29170966303327805,1.0561665259397201e-71,0.00024412572474824534,True
39,919302,0.0024103971517565673,0.14471665733648503,True,0.00010406100085777643,0.9133922377175373,True,0.0015749872721023675,0.2829603883108368,True,0.1706747139153976,2.6623505820746035e-61,True,0.1723537621883579,6.1031431187061336e-05,True,0.4341499720094551,0.9133922377175373,0.5659207766216736,1.3311752910373017e-60,0.00024412572474824534,True
40,919303,0.0029895188010710142,0.09088746281037091,True,0.002835854368989835,0.10564423975798556,True,0.0002757378676531419,0.8019648035202007,True,0.14807543297179546,9.953543967384425e-52,True,0.15118702520843869,6.1031431187061336e-05,True,0.27266238843111273,0.27266238843111273,0.8019648035202007,4.976771983692212e-51,0.00024412572474824534,True
41,919304,0.0002895069825373356,0.7929470675096401,True,0.0031942249796121586,0.08266576043912463,True,0.0013671366753595909,0.33458095774970154,True,0.19230246736215906,2.5002307741986735e-69,True,0.19686382901713045,6.1031431187061336e-05,True,0.7929470675096401,0.2479972813173739,0.6691619154994031,1.2501153870993369e-68,0.00024412572474824534,True
42,919305,0.0025805580741537866,0.12621692072862625,True,0.0007796964971101532,0.5189101755190197,True,0.003383110627473507,0.06624033308183605,True,0.14751994496632204,7.915509809850278e-54,True,0.15168275209090618,6.1031431187061336e-05,True,0.2524338414572525,0.5189101755190197,0.19872099924550815,3.957754904925139e-53,0.00024412572474824534,True
43,919306,4.8520367840020883e-05,0.9618865011049711,True,0.0021314267570933534,0.17840847839355886,True,0.0039037234612810667,0.04367781591581707,True,0.17417434153746233,5.286484162110566e-64,True,0.18020949175583667,6.1031431187061336e-05,True,0.9618865011049711,0.3568169567871177,0.1310334477474512,2.643242081055283e-63,0.00024412572474824534,True
44,919307,0.0013397859133730244,0.34185559851756997,True,0.00039047768097206234,0.7141894431757825,True,0.00029077081468580545,0.7923516933170978,True,0.17265019694402123,1.1077790168662297e-62,True,0.17333144543967888,6.1031431187061336e-05,True,1.0,1.0,1.0,5.538895084331149e-62,0.00024412572474824534,True
45,919308,0.0040553338548330545,0.03852800347724458,True,0.0011283052024038676,0.38976497905730423,True,0.00270462952480441,0.11436423113341147,True,0.1572797364694315,1.3943008398789852e-57,True,0.16111267119664044,6.1031431187061336e-05,True,0.11558401043173375,0.38976497905730423,0.22872846226682295,6.971504199394925e-57,0.00024412572474824534,False
46,919309,0.0012036028774765166,0.38120932430185317,True,0.0014394996517763433,0.3042216404868272,True,0.003601598426472002,0.05539275745935085,True,0.16225395695447636,2.3598057611274632e-57,True,0.1672950550327244,6.1031431187061336e-05,True,0.6084432809736544,0.6084432809736544,0.16617827237805255,1.1799028805637315e-56,0.00024412572474824534,True
47,919310,0.002000611322924036,0.20112944801442378,True,0.0007147608684627263,0.5464481405116222,True,0.0018092464251447064,0.23452189823597575,True,0.15490920131468044,6.881243767211056e-56,True,0.15743320860828755,6.1031431187061336e-05,True,0.6033883440432714,0.6033883440432714,0.6033883440432714,3.440621883605528e-55,0.00024412572474824534,True
48,919311,0.0011428933535323886,0.4003510541307519,True,0.0002208900577293691,0.8252960461487646,True,0.0010549978135079656,0.42955911111553713,True,0.1769677879951176,3.1620484279160107e-64,True,0.17824367586635517,6.1031431187061336e-05,True,1.0,1.0,1.0,1.5810242139580055e-63,0.00024412572474824534,True
49,919312,0.00034806350077793455,0.7568442343044728,True,0.0004128814565619234,0.7023050602554222,True,0.0003708237189828196,0.7431732708137914,True,0.1583392077877403,3.277686286395602e-56,True,0.15912291296328407,6.1031431187061336e-05,True,1.0,1.0,1.0,1.638843143197801e-55,0.00024412572474824534,True
50,919313,0.002118509083398362,0.1829719214980608,True,0.00014345613988969892,0.882774130112076,True,0.0012143775898988659,0.37803136567903517,True,0.1703612234208789,4.1268254370434565e-61,True,0.17171905715066724,6.1031431187061336e-05,True,0.5489157644941824,0.882774130112076,0.7560627313580703,2.0634127185217282e-60,0.00024412572474824534,True
51,919314,0.0013058717198788082,0.35121099331368066,True,0.0011830936646095185,0.3707442153730454,True,0.002586002513187971,0.12565709188877594,True,0.1858108476201961,7.3857007373249904e-68,True,0.18957994379799262,6.1031431187061336e-05,True,0.7024219866273613,0.7024219866273613,0.3769712756663278,3.692850368662495e-67,0.00024412572474824534,True
52,919315,0.0036936962216977233,0.05158380456207999,True,0.0018401195584350919,0.2235454409249435,True,0.000378604133154499,0.7387211593024812,True,0.13868785687156163,1.0878486358462977e-49,True,0.14090658056315128,6.1031431187061336e-05,True,0.15475141368623996,0.447090881849887,0.7387211593024812,5.4392431792314886e-49,0.00024412572474824534,True
53,919316,0.00044480461598429323,0.6999147255153193,True,0.00545250260941397,0.017585501760450255,True,0.00020920148806566861,0.8460620028205814,True,0.17585263185545943,7.444325638998177e-62,True,0.18151433595294048,6.1031431187061336e-05,True,1.0,0.052756505281350764,1.0,3.722162819499088e-61,0.00024412572474824534,True
54,919317,0.0016615320935631276,0.2640675169422978,True,0.0004914015278377763,0.6538528412930886,True,0.005876543671282862,0.008878786540391263,True,0.18795229639080796,7.142805887156556e-68,True,0.19432024158992894,6.1031431187061336e-05,True,0.5281350338845956,0.6538528412930886,0.026636359621173788,3.571402943578278e-67,0.00024412572474824534,True
55,919318,0.001374061684631629,0.3325594036357772,True,0.0007390106472362113,0.5312505381432044,True,0.0013723252105056934,0.33314541689726695,True,0.19099444583076813,1.9561155465184414e-68,True,0.19310578168851064,6.1031431187061336e-05,True,0.9976782109073316,0.9976782109073316,0.9976782109073316,9.780577732592206e-68,0.00024412572474824534,True
56,919319,8.963675970570886e-05,0.9307934899078478,True,5.785486870602788e-05,0.950944177285002,True,0.00012012006691464552,0.9083269362073207,True,0.16382434894873849,3.510056928081597e-60,True,0.1640023238843594,6.1031431187061336e-05,True,1.0,1.0,1.0,1.7550284640407983e-59,0.00024412572474824534,True
57,919320,0.0001109359192064675,0.9150624982351421,True,0.00010097356427524694,0.9159691359500722,True,0.0003097564991411212,0.7803823429272942,True,0.1664776014961499,1.364026520722582e-58,True,0.1668883315595659,6.1031431187061336e-05,True,1.0,1.0,1.0,6.82013260361291e-58,0.00024412572474824534,True
58,919321,0.0008442254223681987,0.508573827092955,True,0.0008573694713909256,0.4860906090238888,True,0.0011276185357077606,0.40540895808833344,True,0.15316175407322674,1.6382592255480134e-55,True,0.15514674208032478,6.1031431187061336e-05,True,1.0,1.0,1.0,8.191296127740067e-55,0.00024412572474824534,True
59,919322,0.0005043146740972694,0.6677356940215282,True,0.0012711391000526386,0.3469600852143605,True,0.0013631763225664373,0.3353117783339804,True,0.168577830758971,7.508262750299112e-59,True,0.17121214618158911,6.1031431187061336e-05,True,1.0,1.0,1.0,3.754131375149556e-58,0.00024412572474824534,True
60,919323,5.90384791553922e-05,0.9538217404827987,True,0.0019482000570353417,0.2048287741064999,True,0.0007509092528314582,0.5483619017646153,True,0.1766860276377869,5.268377456434875e-63,True,0.1793851369476534,6.1031431187061336e-05,True,1.0,0.6144863223194997,1.0,2.6341887282174377e-62,0.00024412572474824534,True
61,919324,0.0009815537135040848,0.455611581309289,True,0.00044052636511661023,0.6865743834312885,True,0.0017918651947471907,0.23784750681594452,True,0.15520074591603608,9.643248241784833e-55,True,0.1574331374758998,6.1031431187061336e-05,True,0.911223162618578,0.911223162618578,0.7135425204478336,4.8216241208924166e-54,0.00024412572474824534,True
62,919325,0.00031018453993667515,0.7800258319596457,True,0.0018596998104187627,0.22011162072906576,True,0.003635263032034687,0.05418166827544596,True,0.1422361695075356,2.6998419133554267e-49,True,0.14773113234998922,6.1031431187061336e-05,True,0.7800258319596457,0.4402232414581315,0.16254500482633788,1.3499209566777134e-48,0.00024412572474824534,True
