cell,replicate,seed,regime,b,beta,n,population_gap,valid,status,gap,I1,se,score,wald,p_gap,p_score,p_wald,naive_p,kish_p,ess,a2,max_weight,moment_error,condition,iterations,gap_kl_error,gap_score_error,lr_identity_error,score_discrepancy,eig_min,eig_max,min_sampling_eigenvalue,dual_entropy_discrepancy,fit_seconds,refinement_status,refinement_tolerance,refined_full_status,refined_reduced_status,scaled_refinement,lower,upper,error,covered
local_b2_n200,0,2035151601,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.010075211167431819,0.618340323886357,0.010131445460401992,3.9582651150469426,4.018055809453312,0.1281186534413583,0.1328854852206503,0.1341189877542375,0.1333147728994098,0.1333147728994098,200.0,200.0,0.005,1.6199130925542704e-10,15.671831308228722,9,1.285950512741607e-13,-1.700029006457271e-16,-6.927791673660977e-14,0.03590967596289252,0.9132022378909246,1.0479691244728186,0.17865523295074334,3.4764302547785064e-10,0.0013595002237707376,ok,0.001,ok,ok,2.220446049250313e-13,-0.009782057046287911,0.02993247938115155,0.008067617292875306,True
local_b2_n200,1,2035151602,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.0009716732013314022,0.6130229403019387,0.0029077920979483527,0.3962380280622667,0.4424914537961171,0.8278153938648369,0.8247789494518268,0.8015197011397547,0.8233823212813223,0.8233823212813223,200.0,200.0,0.005,1.277070671434899e-10,11.200808171388324,8,-1.1253594085249008e-11,2.90132501357121e-16,1.1612932837579137e-13,-0.0037843737648529108,0.8677329713047682,1.215575688756338,0.17629379882486323,2.722497782770006e-10,0.0013969161082059145,ok,0.001,ok,ok,2.6645352591003757e-13,-0.0047274945851775345,0.006670840987840339,-0.0010359206732251103,True
local_b2_n200,2,2035151603,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.006038083661884963,0.6197464732223139,0.008192872359399994,2.558607970141286,2.000683949109015,0.3444545261792935,0.3234363233120007,0.3677536572721075,0.2989088108993891,0.2989088108993891,200.0,200.0,0.005,1.7208368063847956e-10,8.888829296738258,9,-1.5765600630546217e-13,1.8301332671555315e-16,7.37188088351104e-14,-0.07168725269365028,0.9887692008341369,1.2864691088806663,0.1999135670452003,3.70687924799995e-10,0.0013563758693635464,ok,0.001,ok,ok,0.0,-0.010019651092472725,0.02209581841624265,0.004030489787328451,True
local_b2_n200,3,2035151604,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.01176693631669945,0.5975471998763473,0.010724704895907895,4.85291095743366,4.503537771192561,0.11196879759128373,0.10465909972944323,0.10521295018927537,0.09504666824297212,0.09504666824297212,200.0,200.0,0.005,6.322231627109431e-11,10.2666619221462,9,-7.417677583276827e-13,-1.3877787807814457e-16,-5.417888360170764e-14,-0.07306821537693997,0.9552653824827103,1.1931076140729493,0.20380525440860617,1.315485498309954e-10,0.001369209261611104,ok,0.001,ok,ok,1.3322676295501878e-13,-0.009253099024100413,0.03278697165749932,0.009759342442142938,True
local_b2_n200,4,2035151605,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.0025292510276686553,0.6498427910037146,0.005083400823911969,1.0391362626892613,0.9914093675820754,0.6240990012649479,0.6162139426880056,0.6091415038730348,0.6029926897072087,0.6029926897072087,200.0,200.0,0.005,4.440892098500626e-16,12.64335017277356,10,-3.7730235602495554e-16,-2.918672248330978e-16,-1.1723955140041653e-13,-0.01371792581089959,0.8627449946925939,1.320195290448603,0.16659743377512687,8.881784197001252e-16,0.0014409159775823355,ok,0.001,ok,ok,0.0,-0.007434031506180041,0.012492533561517352,0.0005216571531121428,True
local_b2_n200,5,2035151606,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.003652016718024287,0.5621804650534163,0.0064818757213070625,1.5143445103053106,1.2786449843425634,0.5105553510302714,0.4983053002644332,0.5276497898337524,0.4817146543755948,0.4817146543755948,200.0,200.0,0.005,1.1525447263238675e-11,7.95817140695953,9,-3.9898639947466563e-16,-2.667137344314341e-16,-1.0591527654923993e-13,-0.026768911547797924,0.8046063479121428,1.4267899979781187,0.1854959190465554,2.2735591187483806e-11,0.0013405841309577227,ok,0.001,ok,ok,1.3322676295501878e-13,-0.00905222624800214,0.016356259684050713,0.0016444228434677743,True
local_b2_n200,6,2035151607,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.0036917425098121903,0.6842124310037045,0.006245206930851246,1.4346201418985354,1.432658219632547,0.4453166211098724,0.4556648318899711,0.4885423536541136,0.4779025192257069,0.4779025192257069,200.0,200.0,0.005,6.5503158452884236e-15,21.377542118764776,10,1.0477729794899915e-15,1.214306433183765e-17,3.9968028886505635e-15,0.021038431013170378,0.7971226000454078,1.0376967968098603,0.12638233427993664,1.6653345369377348e-14,0.0014475416392087936,ok,0.001,ok,ok,1.7763568394002505e-13,-0.00854863815065618,0.01593212317028056,0.0016841486352556778,True
local_b2_n200,7,2035151608,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.011321838384015237,0.6309576000083081,0.011008706574273117,4.614655252728126,4.126432060979477,0.11228153017922485,0.10787654767471441,0.12704473245436726,0.10389570944187093,0.10389570944187093,200.0,200.0,0.005,4.194311564731379e-12,12.978323411856152,10,-5.274704284463638e-13,-1.491862189340054e-16,-6.039613253960852e-14,-0.04295994956101579,0.7701285051543763,1.2933798379484793,0.14829211586245356,8.61377635885674e-12,0.0014437909703701735,ok,0.001,ok,ok,1.3322676295501878e-13,-0.01025483001792939,0.03289850678595986,0.009314244509458725,True
local_b2_n200,8,2035151609,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.007901112925240428,0.5881789288103325,0.009335478241289335,3.3020642865340935,2.673238173167543,0.2393411222513957,0.22459857047945547,0.2627324443255213,0.20592925632979237,0.20592925632979237,200.0,200.0,0.005,4.081102122910352e-11,8.648659490178533,9,-1.2211585909138734e-13,3.9898639947466563e-17,1.6431300764452317e-14,-0.07080955821896118,0.9492109693073818,1.2675702658958141,0.2056306015990056,8.37054869862186e-11,0.0014061657711863518,ok,0.001,ok,ok,4.440892098500626e-14,-0.010396088206143995,0.02619831405662485,0.005893519050683915,True
local_b2_n200,9,2035151610,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.0023347933219801664,0.5601104227051372,0.004529897824098731,0.9386775484954245,1.077454270775123,0.6302516798954372,0.6287748377080011,0.5834904842825496,0.6269060034150901,0.6269060034150901,200.0,200.0,0.005,1.0345502232667059e-11,10.069168529125545,9,2.2898349882893854e-16,1.5569143196891844e-16,6.23945339839338e-14,-0.0023801098516789687,0.8596432625626589,1.1832396691912872,0.19671771502524163,2.042854774231273e-11,0.001362374285236001,ok,0.001,ok,ok,4.440892098500626e-14,-0.006543643266899704,0.011213229910860037,0.0003271994474236539,True
local_b2_n200,10,2035151611,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.008485601562225664,0.658583013766862,0.00906545731211951,3.6479897776041392,3.18323563048909,0.23007454934529398,0.2061945094526271,0.20359596449685913,0.18321035371176927,0.18321035371176927,200.0,200.0,0.005,2.2842061575545358e-11,9.935409023978178,10,-7.234116083942865e-12,-2.6020852139652106e-16,-1.0347278589506459e-13,-0.12687457635693677,1.0659222146862652,1.2459589640849553,0.19671428647871964,4.487121785246018e-11,0.0014432091265916824,not_checked,0.001,not_checked,not_checked,,-0.009282368272913857,0.026253571397365186,0.006478007687669152,True
local_b2_n200,11,2035151612,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.005443237979237958,0.6348129637426632,0.006974657047187379,2.242377760266842,2.3411897230340166,0.37346780238803856,0.3626924994966735,0.3101823708183454,0.3366715018970629,0.3366715018970629,200.0,200.0,0.005,4.118927421359331e-14,11.803006303442716,10,-7.119305145408816e-15,-1.3704315460216776e-16,-5.5067062021407764e-14,-0.032541284285829475,0.9475299385285484,1.2753828940049616,0.18612738194715964,8.37108160567368e-14,0.0014339990448206663,not_checked,0.001,not_checked,not_checked,,-0.008226838637767785,0.0191133145962437,0.0034356441046814457,True
local_b2_n200,12,2035151613,local,2,0.1414213562373095,200,0.0020075938745565125,True,ok,0.009727149803684165,0.6042138101539647,0.009570872744302607,4.156015193642005,3.762717946089573,0.1795070599666449,0.15970613356722096,0.15238288075474724,0.14292575766104954,0.14292575766104954,200.0,200.0,0.005,8.572709209175855e-11,7.821673118881955,9,-3.743482954177146e-12,1.3877787807814457e-17,3.1086244689504383e-15,-0.13257763608416928,1.0695096832857496,1.196356694017918,0.21070512378735992,1.8048229577516395e-10,0.001334208995103836,not_checked,0.001,not_checked,not_checked,,-0.009031416075764975,0.028485715683133305,0.007719555929127653,True
