cell,regime,b,beta,n,repeats,population_gap,population_refinement,bias,rmse,coverage,coverage_mc_se,coverage_lo,coverage_hi,interval_claim,failures,asymptotic_local_power,p_gap_rejection,p_gap_mc_se,p_gap_lo,p_gap_hi,p_score_rejection,p_score_mc_se,p_score_lo,p_score_hi,p_wald_rejection,p_wald_mc_se,p_wald_lo,p_wald_hi,naive_p_rejection,naive_p_mc_se,naive_p_lo,naive_p_hi
fixed_b0.3_n200,fixed,0.3,0.3,200,600,0.008448000378273424,2.220446049250313e-16,0.005046350369912725,0.012756418599086085,0.9266666666666666,0.010642333355954384,0.902983781316827,0.944920900484815,fixed alternative only,0,,0.23,0.017180415206468867,0.1981080237072888,0.26532729484010964,0.2683333333333333,0.018089156768423247,0.23443526904979525,0.3051789857532195,0.23333333333333334,0.017266966964355614,0.20125234504726427,0.2688072288267095,0.33166666666666667,0.019220817225467153,0.29517019770455494,0.3703049083033911
fixed_b0.6_n200,fixed,0.6,0.6,200,600,0.02942372650516689,6.661338147750939e-16,0.0026506618320297427,0.01867759741850637,0.91,0.011683321445547921,0.8844172269988464,0.9303661781699191,fixed alternative only,0,,0.57,0.020211382931407736,0.5300647932673496,0.6090445685907323,0.6983333333333334,0.018737835560210293,0.6604413808873549,0.7337018110438772,0.62,0.0198158185969358,0.5805145150370474,0.6579586767196643,0.8083333333333333,0.016069150338228606,0.7749159755220609,0.837827642186157
fixed_b0.3_n800,fixed,0.3,0.3,800,600,0.008448000378273424,2.220446049250313e-16,0.001142228590909118,0.005025475901618664,0.9383333333333334,0.009820377529138826,0.9161569372167724,0.9549326382278833,fixed alternative only,0,,0.8766666666666667,0.013423997307199658,0.8479344577657781,0.9006063941372342,0.8866666666666667,0.012941463652983052,0.8588034397487048,0.9096101781340336,0.8766666666666667,0.013423997307199658,0.8479344577657781,0.9006063941372342,0.9066666666666666,0.011875901525233237,0.8807336048064752,0.9274255450357148
fixed_b0.6_n800,fixed,0.6,0.6,800,600,0.02942372650516689,6.661338147750939e-16,0.0009296798059605042,0.009536476491384532,0.935,0.010064376119097825,0.9123759093314793,0.9520894107866013,fixed alternative only,0,,1.0,0.0,0.9936382989862994,1.0000000000000002,1.0,0.0,0.9936382989862994,1.0000000000000002,1.0,0.0,0.9936382989862994,1.0000000000000002,1.0,0.0,0.9936382989862994,1.0000000000000002
local_b0_n200,local,0,0.0,200,600,0.0,2.220446049250313e-16,0.0054174051272164285,0.007524411492222545,0.9983333333333333,0.0016652771985913373,0.9906204395238613,0.9997057317991506,"near-null interval reported diagnostically, not justified by fixed-alternative theorem",0,0.05000000000000003,0.05,0.008897565210026092,0.03524526778459468,0.07048026312773596,0.04833333333333333,0.008755685983236096,0.03386090038689244,0.06855250286215053,0.06666666666666667,0.01018350154434631,0.04933761840939038,0.0895091891358169,0.05333333333333334,0.009173229973577907,0.038029103590111496,0.07432068264879449
local_b1_n200,local,1,0.07071067811865475,200,600,0.0005162366077655633,2.220446049250313e-16,0.004713442014177367,0.0070515317295979,0.9983333333333333,0.0016652771985913373,0.9906204395238613,0.9997057317991506,"near-null interval reported diagnostically, not justified by fixed-alternative theorem",0,0.0662923610103856,0.05333333333333334,0.009173229973577907,0.038029103590111496,0.07432068264879449,0.055,0.009307255234493142,0.03942813848636002,0.07623377541583362,0.055,0.009307255234493142,0.03942813848636002,0.07623377541583362,0.07,0.01041633332799983,0.05220190369433854,0.09326915917744409
local_b2_n200,local,2,0.1414213562373095,200,600,0.0020075938745565125,6.661338147750939e-16,0.004896153000336704,0.008321145289368583,0.985,0.004962358310319804,0.9717403929844038,0.9920887570323066,"near-null interval reported diagnostically, not justified by fixed-alternative theorem",0,0.11933752809695936,0.06,0.009695359714832657,0.043651428759454075,0.08194686813260255,0.07833333333333334,0.010969444092737958,0.059417400634637595,0.10261430055358334,0.06833333333333333,0.010300800040845442,0.05076809443760846,0.09139084077088647,0.11333333333333333,0.012941463652983053,0.09038982186596657,0.1411965602512953
local_b3_n200,local,3,0.21213203435596426,200,600,0.0043867281100336,0.0,0.004720924227622065,0.009615081603432631,0.9633333333333334,0.007672702937711736,0.9451083863696614,0.9756631040243093,"near-null interval reported diagnostically, not justified by fixed-alternative theorem",0,0.21689695568774653,0.12166666666666667,0.013345654029738726,0.09788899177278657,0.15025802866091367,0.155,0.014774696838401345,0.1282458511251585,0.18614372257429498,0.12666666666666668,0.013578305136149002,0.10240739498691152,0.15567600843665172,0.19666666666666666,0.016226977993909243,0.16683474102174364,0.23035802425990146
local_b4_n200,local,4,0.282842712474619,200,600,0.0075658373210518715,1.3322676295501878e-15,0.004920439210564582,0.011126593158275402,0.9316666666666666,0.010300800040845446,0.9086091592291136,0.9492319055623916,"near-null interval reported diagnostically, not justified by fixed-alternative theorem",0,0.35902107876922557,0.20333333333333334,0.016431113214918868,0.17306341797818775,0.23737785795660804,0.26,0.017907168024751056,0.22650792164694153,0.2965456948396349,0.22,0.016911534525287764,0.1886928970677066,0.2548696554999658,0.33166666666666667,0.019220817225467153,0.29517019770455494,0.3703049083033911
local_b0_n800,local,0,0.0,800,600,0.0,2.220446049250313e-16,0.0012056721161491175,0.0017272748620375377,1.0,0.0,0.9936382989862994,1.0000000000000002,"near-null interval reported diagnostically, not justified by fixed-alternative theorem",0,0.05000000000000003,0.043333333333333335,0.008312195413522988,0.02974099813478266,0.06273602212439733,0.045,0.008463155439905378,0.03110848866772835,0.0646806592547393,0.04666666666666667,0.008610931897776695,0.03248188567095377,0.06661938991480156,0.04666666666666667,0.008610931897776695,0.03248188567095377,0.06661938991480156
