beta,policy,selected,selected_mean_gain,per_query_policy_gain,negative_selected,query_ids
6,top_half_I1,20,0.17954334841059502,0.08977167420529751,0,1099;1227;197;1579;468;1439;1696;907;837;44;78;366;752;1226;709;1698;1251;1021;738;675
6,top_half_I2,20,0.20325155537380118,0.10162577768690059,0,1099;1579;1439;1229;78;675;197;468;738;1135;1227;752;44;366;837;1696;1200;1766;988;163
6,top_half_raw_second_norm,20,0.192328193798749,0.0961640968993745,0,1099;197;1227;1439;1579;468;1696;78;907;44;837;752;366;675;1226;738;1698;163;1135;1766
6,top_half_residual_second_norm,20,0.17135177948967725,0.08567588974483863,1,988;1229;675;485;738;1135;1078;78;492;157;592;1200;482;1766;163;752;116;1439;251;366
6,top_half_model_score,20,0.19208383016276268,0.09604191508138134,0,1099;197;1439;1579;468;1227;78;675;1696;44;738;752;837;1229;366;907;1135;1226;163;1766
6,top_half_sandwich_wald,20,0.18233892409441393,0.09116946204720697,0,1135;1229;752;78;738;366;675;907;1078;1200;1579;837;44;1227;468;1439;1766;1226;197;1696
6,always_vMF,0,0.0,0.0,0,
6,always_FB,40,0.152848561310256,0.152848561310256,1,485;1579;837;1200;1099;675;619;163;1229;492;1135;78;513;1698;157;592;197;1078;907;468;1766;482;251;366;524;1730;44;1226;904;1696;1021;1251;1227;752;738;709;988;1569;1439;116
3,top_half_I1,20,0.06433682793840087,0.032168413969200435,0,1227;907;1696;1099;709;1579;1021;1698;1226;197;837;468;78;904;1251;44;619;1730;251;1135
3,top_half_I2,20,0.08057611580605795,0.04028805790302897,0,1099;1579;78;1696;197;1229;1439;1698;1226;468;366;904;709;251;837;1227;44;738;157;163
3,top_half_raw_second_norm,20,0.07762259766415329,0.038811298832076645,0,1099;1579;1696;197;1226;1227;1698;78;468;709;1439;907;1021;904;44;251;837;366;163;619
3,top_half_residual_second_norm,20,0.07971788328944432,0.03985894164472216,0,1099;1579;78;1229;197;1439;1696;1698;1226;468;738;366;904;251;837;44;157;675;709;163
3,top_half_model_score,20,0.08057611580605796,0.04028805790302898,0,1099;1579;1696;78;197;1698;1226;468;1439;1229;904;1227;709;837;44;251;366;738;163;157
3,top_half_sandwich_wald,20,0.07862162444734136,0.03931081222367068,0,1099;1579;78;1439;197;366;1696;1229;1698;1226;44;251;1200;468;709;904;1078;157;837;1135
3,always_vMF,0,0.0,0.0,0,
3,always_FB,40,0.0553992817299508,0.0553992817299508,0,485;1579;837;1200;1099;675;619;163;1229;492;1135;78;513;1698;157;592;197;1078;907;468;1766;482;251;366;524;1730;44;1226;904;1696;1021;1251;1227;752;738;709;988;1569;1439;116
9,top_half_I1,20,0.15797843424911592,0.07898921712455796,0,1439;197;1227;1099;468;1579;907;675;78;366;752;44;837;738;1200;1696;1766;1135;1226;163
9,top_half_I2,20,0.19561353186747069,0.09780676593373534,1,988;1229;675;1135;78;738;1078;1579;485;752;1439;468;366;116;197;592;1766;1099;1227;907
9,top_half_raw_second_norm,20,0.16896849051585108,0.08448424525792554,0,1439;197;1227;1099;468;1579;675;907;78;366;752;738;988;44;837;1200;1696;1766;1135;1229
9,top_half_residual_second_norm,20,0.14614561843499763,0.07307280921749881,2,988;116;485;592;1078;1229;492;482;513;524;1135;619;1569;251;1730;738;1766;1698;157;675
9,top_half_model_score,20,0.16896849051585108,0.08448424525792554,0,1439;197;675;468;1579;1227;1099;78;988;907;738;366;752;1229;1766;1200;837;1135;44;1696
9,top_half_sandwich_wald,20,0.13611010484726935,0.06805505242363467,1,1078;485;1135;619;524;907;592;251;1229;1698;78;1021;752;1579;1696;1099;468;1569;837;1226
9,always_vMF,0,0.0,0.0,0,
9,always_FB,40,0.14037356218979052,0.14037356218979052,2,485;1579;837;1200;1099;675;619;163;1229;492;1135;78;513;1698;157;592;197;1078;907;468;1766;482;251;366;524;1730;44;1226;904;1696;1021;1251;1227;752;738;709;988;1569;1439;116
